2#,解肌透疹
43#,活血祛瘀,行气止痛
44#,降逆化痰,益气和胃
45#,回阳救逆
46#,透邪解郁,疏肝理脾
47#,发汗解表,宣肺平喘
48#,燥湿运脾,行气和胃
49#,润肠通便
50#,化痰息风,健脾祛湿
51#,泻热破瘀,散结消肿
52#,清营解毒,透热养阴
53#,泻肝胆实火,清下焦湿热
54#,清热燥湿,调气和血
55#,凉血止血
56#,益气固表止汗
57#,轻宣温燥,润肺止咳
58#,疏肝解郁,行气止痛
59#,益气补血
60#,益气健脾
62#,养阴透热
63#,养血祛瘀,温经止痛
64#,益气祛风,健脾利水
65#,泻热通便,益气养血
66#,辛凉疏表,清肺平喘
67#,滋阴解表
68#,清暑益气,养阴生津
69#,解表散寒,温肺化饮
70#,益气补血,健脾养心
71#,益气健脾,固冲摄血
72#,清胃凉血
73#,补气,活血,通络
74#,清肺化痰,逐瘀排脓
75#,清热解毒,凉血止痢
76#,益气健脾,渗湿止泻
77#,润肺益胃,降逆下气
78#,清热开窍,豁痰解毒
79#,清热化痰,宽胸散结
80#,清热解毒,凉血散瘀
81#,凉血止血,利水通淋
82#,利水渗湿,温阳化气
83#,和解少阳
84#,攻逐水饮
85#,降气平喘,祛痰止咳
86#,温中补虚,降逆止呕
87#,透邪解郁,疏肝理脾
88#,温阳补血,散寒通滞
89#,疏风止痒,清热除湿
90#,清热泻火,利水通淋
91#,清热解毒,消肿溃坚,活血止痛
92#,平肝息风,清热活血,补益肝肾
93#,清暑利湿
94#,温里散寒,通便止痛
95#,补脾柔肝,祛湿止泻
96#,镇肝息风,滋阴潜阳
97#,辛凉透表,清热解毒
98#,轻宣温润,止咳化痰
99#,滋阴养血,益气复脉
100#,清热,利湿,退黄
101#,行气解郁
102#,镇心安神,清热养阴
103#,温阳利水
104#,止咳化痰,宣肺疏表
105#,发汗祛风,除湿止痛
