﻿"2#【功用】 解肌透疹。
　　"
"3#【功用】泻热破瘀，散结消肿。
　　"
"4#【功用】 解表散寒，温肺化饮。
　　"
"5#【功用】 益气解表，理气化痰。
　　"
"6#【功用】 助阳解表。
　　"
"7#【功用】温里散寒，通便止痛。
　　"
"8#【功用】泻热逐水。
　　"
"9#【功用】攻遂水饮。
　　"
10#
"11#【功用】 辛凉疏表，清肺平喘。
　　"
12#
"13#【功用】润肠泄热，行气通便。
　　"
"14#【功用】　宣利肺气，疏风止咳。
　　"
"15#【功用】　疏散风寒，理气和中。
　　"
"16#【功用】 发汗解表，宣肺平喘。
　　"
"17#【功用】 疏风清热，宣肺止咳。
　　"
"18#【功用】攻下通便，补气养血。
　　"
"19#【功用】攻下冷积，温补脾阳。
　　"
"20#【功用】 和解少阳。
　　"
"21#【功用】温肾益精，润肠通便。
　　"
"22#【功用】 滋阴解表。
　　"
"23#【功用】 辛凉透表，清热解毒。
　　"
24#
"25#【功用】 和解少阳，内泻热结。
　　"
"26#【功用】峻下热结。
　　"
"27#【功用】　散寒祛湿，益气解表。
　　"
"28#【功用】 清胆利湿，和胃化痰。
　　"
"29#【功用】 开达膜原，辟秽化浊。
　　"
"30#【功用】 透邪解郁，疏肝理脾。
　　"
"31#【功用】 疏肝解郁，养血健脾。
　　"
"32#【功用】 补脾柔肝，祛湿止泻。
　　"
"33#【功用】 寒热平调，消痞散结。
　　"
"34#【功用】 泻火通便，清上泄下。
　　"
"35#【功用】 清热解毒，消肿溃坚，活血止痛。
　　"
"36#【功用】 清营解毒，透热养阴。
　　"
"37#【功用】 泻火解毒。
　　"
"38#【功用】 清心利水养阴。
　　"
"39#【功用】 清热生津，益气和胃。
　　"
"40#【功用】 清热生津。
　　"
"41#【功用】 清热解毒，疏风散邪。
　　"
42#
"43#【功用】 清热解毒，凉血散瘀。
　　"
"44#【功用】 清泻肝胆实火，清利下焦湿热。
　　"
"45#【功用】 发汗祛湿，兼清里热。
　　"
"46#【功用】 解肌发表，调和营卫。
　　"
"47#【功用】 解表散寒。
　　"
48#
"49#【功用】 清泻肝火，降逆止呕。
　　"
"50#【功用】 清肺化痰，逐瘀排脓。
　　"
"51#【功用】 清泻肺热，平喘止咳。
　　"
"52#【功用】　清胃凉血。
　　"
"53#【功用】 清胃热，滋肾阴。
　　"
"54#【功用】解表清里。
　　"
"55#【功用】 清热燥湿，调气和血。
　　"
"56#【功用】　清热解毒，凉血止痢。
　　"
"57#【功用】 养阴透热。
　　"
"58#【功用】 清虚热，退骨蒸。
　　"
"59#【功用】　滋阴泻火，固表止汗。
　　"
60#
"61#【功用】 祛暑清热。
　　"
