2#,升麻,芍药,甘草,各(300g),葛根(450g)
3#,大黄(12g),牡丹(3g),桃仁(9g),冬瓜仁(30g),芒硝(9g)
4#,麻黄,(9g),芍药(9g),细辛(6g),干姜(6g),甘草,(6g),桂枝,(9g),半夏,(9g),五味子(6g)
5#,人参,紫苏叶,干葛,半夏,前胡,茯苓,各(6g),枳壳,麸,桔梗,木香,陈皮,甘草,各(各4g)
6#,麻黄(6g),附子(9g),细辛(3g)
7#,大黄(9g),附子,(12g),细辛(3g)
8#,大黄,(10g),芒硝(10g),甘遂(1g)
9#,芫花,甘遂,大戟,各等分
10#,柴胡(6g),干葛(9g),甘草(3g),黄芩(6g),羌活(3g),白芷(3g),芍药(6g),桔梗(3g)
11#,麻黄,(9g),杏仁,(9g),甘草,(6g),石膏碎,绵裹,(18g)
12#
13#,麻子仁(500g),芍药(250g),枳实,(250g),大黄,(500g),厚朴,,杏仁,,别作脂(250g)
14#,桔梗,荆芥,紫菀,百部,白前,各(各1Kg),甘草,(375g),陈皮水,,(500g)
15#,香附子,,紫苏叶各(120g),甘草,(30g),陈皮,(60g)
16#,麻黄,(9g),桂枝,(6g),杏仁,(6g),甘草,(3g)
17#,桑叶(7.5g),菊花(3g),杏仁(6g),连翘(5g),薄荷(2.5g),苦桔梗(6g),生甘草(2.5g),苇根(6g)
18#,大黄(9g),芒硝(12g),枳实(6g),厚朴(3g),当归(9g),人参(6g),甘草(3g)
19#,大黄,(15g),当归,干姜各(各9g),附子,人参,芒硝,甘草,各(各6g)
20#,柴胡(24g),黄芩(9g),人参(9g),甘草三两,(9g),半夏半升,(9g),生姜三两,(9g),大枣十二枚,擘(4枚)
21#,当归,(9～15g),牛膝(6g),肉苁蓉,,(6～9g),泽泻(4.5g),升麻五分至七分或(1.5～3g),枳壳(3g)
22#,生葳蕤(9g),生葱白(6g),桔梗(4.5g),东白薇(3g),淡豆豉(12g),苏薄荷(4.5g),草(1.5g),红枣二枚
23#,连翘(30g),银花(30g),苦桔梗(18g),薄荷(18g),竹叶(12g),生甘草(15g),芥穗(12g),淡豆豉(15g),牛蒡子(18g)
24#
25#,柴胡(15g),黄芩(9g),芍药(9g),半夏半升,(9g),生姜五两,(15g),枳实四枚,(9g),大枣十二枚,擘(4枚),大黄(6g)
26#,大黄,(12g),厚朴,,(24,g),枳实,(12g,),芒硝(9g)
27#,柴胡,前胡,,川芎,枳壳,麸,羌活,独活,茯苓,桔梗,人参,甘草各(900g)
28#,青蒿脑(4.5～6g),淡竹茹(9g),仙半夏(4.5g),赤茯苓(9g),青子芩(4.5g～9g),生枳壳(4.5g),陈广皮(4.5g),碧玉散(滑石甘草青黛)包,(9g)
29#,槟榔(6g),厚朴(3g),草果仁(1.5g),知母(3g),芍药(3g),黄芩(3g),甘草(1.5g)
30#,甘草,枳实,柴胡,芍药各(各6g)
31#,甘草,(15g),当归,锉,,茯苓,白者,白芍药,白术,柴胡,各(各30g)
32#,白术,(90g),白芍药,(60g),陈皮,(45g),防风(30g)
33#,半夏半升,(12g),黄芩,干姜,人参各(各9g),黄连(3g),大枣十二枚,擘(4枚),甘草三两,(9g)
34#,川大黄,朴硝,甘草火监各(各600g),山栀子仁,薄荷,黄芩各(各300g),连翘(1250g)
35#,白芷(3g),贝母,防风,赤芍药,当归尾,甘草节,皂角刺,穿山甲,天花粉,乳香,没药各(各6g),金银花,陈皮各(9g)
36#,水牛角(30g),生地黄(15g),元参(9g),竹叶心(3g),麦冬(9g),丹参(6g),,黄连(5g),银花(9g),连翘二钱,连心用(6g)
37#,黄连(9g),黄芩,黄柏各(各6g),栀子十四枚,擘(9g)
38#,生地黄,木通,生甘草梢各等(各6g)
39#,竹叶二把(6g),石膏(50g),半夏半升,(9g),麦门冬一升,,人参(6g),甘草二两,(6g),粳米(10g)
40#,石膏一斤碎(50g),知母(18g),甘草(6g),粳米(9g)
41#,黄芩,黄连各(各15g),陈皮,甘草,玄参,柴胡,桔梗各(各6g),连翘,板蓝根,马勃,牛蒡子,薄荷各(各3g),僵蚕,升麻各(各2g)
42#
43#,水牛角(30g),生地黄(24g),芍药(12g),牡丹皮(9g)
44#,龙胆草(6g),黄芩(9g),栀子(9g),泽泻(12g),木通(6g),当归(3g),生地黄(9g),柴胡(6g),生甘草(6g),车前子(9g),(原书无用量)
45#,羌活(9g),防风(9g),苍术(9g),细辛(3g),川芎(6g),香白芷(6g),生地黄(6g),黄芩(6g),甘草(6g)
46#,桂枝,芍药(9g),甘草(6g),生姜,(9g),大枣擘(3g)
47#,柴胡(9g),防风(3g),陈皮(4.5g),芍药(6g),甘草(3g),生姜三五片
48#
49#,黄连(180g),吴茱萸(30g)
50#,苇茎二升,以水二斗,煮取五升,,薏苡仁(30g),瓜瓣(24g),桃仁(9g)
51#,地骨皮,桑白皮,各(各30g),甘草,(3g)
52#,生地黄,当归身各(各6g),牡丹皮(9g),黄连六分,夏月倍之,(6g),升麻(9g)
53#,石膏(9～15g),熟地三至五钱或(9～30g),麦冬(6g),知母牛膝各(各5g)
54#,葛根(15g),甘草(6g),黄芩(9g),黄连(9g)
55#,芍药(30g),当归(15g),黄连(15g),槟榔,木香,甘草,各(各6g),大黄(9g),黄芩(15g),官桂(5g)
56#,白头翁(15g),黄柏(12g),黄连(6g),秦皮(12g)
57#,青蒿(6g),鳖甲(15g),细生地(12g),知母(6g),丹皮(9g)
58#,银柴胡(5g),胡黄连,秦艽,鳖甲醋,地骨皮,青蒿,知母各(各3g),甘草(2g)
59#,当归,生地黄,黄芩,黄柏,黄连,熟地黄各等(各6g),黄芪加一倍(12g)
60#
61#,鲜荷叶边(6g),鲜银花(6g),丝瓜皮(6g),西瓜翠衣(6g),鲜扁豆花一枝(6g),鲜竹叶心(6g)
62#,西洋参(5g),石斛(15g),麦冬(9g),黄连(3g),竹叶(6g),荷梗(15g),知母(6g),甘草(3g),粳米(15g),西瓜翠衣(30g)
63#,滑石(180g),甘草(30g)
64#,香薷,(500g),白扁豆,厚朴
65#,茯苓(30g),甘草二两,(60g),白术(15g),泽泻(30g),桂,石膏(60g),寒水石(60g),滑石(120g),猪苓(15g)
66#
67#,人参,干姜,甘草,白术各(各90g)
68#,吴茱萸一升,(9g),人参(9g),生姜六两,(18g),大枣十二枚,擘,(4枚)
69#,当归(12g),桂枝三两,,芍药(9g),细辛(3g),甘草二两,(6g),通草(6g),大枣二十五枚,擘(8枚)
70#,熟附子(9g),干姜(6g),人参(6g),甘草(6g),白术(9g),肉桂(3g),陈皮(6g),五味子(3g),茯苓(9g),半夏制(9g)
