升麻,300g,芍药,300g,甘草,300g,葛根,450g
大黄,12g,牡丹,3g,桃仁,9g,冬瓜仁,30g,芒硝,9g
麻黄,9g,芍药,9g,细辛,6g,干姜,6g,甘草,6g,桂枝,9g,半夏,9g,五味子,6g
人参,6g,紫苏叶,6g,干葛,6g,半夏,6g,前胡,6g,茯苓,6g,枳壳,4g,桔梗,4g,木香,4g,陈皮,4g,甘草,4g
麻黄,6g,附子,9g,细辛,3g
大黄,9g,附子,12g,细辛,3g
大黄,10g,芒硝,10g,甘遂,1g
芫花,None,甘遂,None,大戟,None
柴胡,6g,干葛,9g,甘草,3g,黄芩,6g,羌活,3g,白芷,3g,芍药,6g,桔梗,3g
麻黄,9g,杏仁,6g,甘草,6g,石膏碎,18g
麻子仁,500g,芍药,250g,枳实,250g,大黄,500g,厚朴,250g,杏仁,250g
桔梗,1000.0g,荆芥,1000.0g,紫菀,1000.0g,百部,1000.0g,白前,1000.0g,甘草,375g,陈皮水,500g
香附子,120g,紫苏叶,120g,甘草,30g,陈皮,60g
麻黄,9g,桂枝,6g,杏仁,6g,甘草,3g
桑叶,7.5g,菊花,3g,杏仁,6g,连翘,5g,薄荷,2.5g,苦桔梗,6g,生甘草,2.5g,苇根,6g
大黄,9g,芒硝,12g,枳实,6g,厚朴,3g,当归,9g,人参,6g,甘草,3g
大黄,15g,当归,9g,干姜,9g,附子,6g,人参,6g,芒硝,6g,甘草,6g
柴胡,24g,黄芩,9g,人参,9g,甘草,9g,半夏,9g,生姜,9g,大枣,12枚,擘,4枚
当归,9g,牛膝,6g,肉苁蓉,9g,泽泻,4.5g,升麻,3g,枳壳,3g
生葳蕤,9g,生葱白,6g,桔梗,4.5g,东白薇,3g,淡豆豉,12g,苏薄荷,4.5g,草,1.5g,红枣,2枚
连翘,30g,银花,30g,苦桔梗,18g,薄荷,18g,竹叶,12g,生甘草,15g,芥穗,12g,淡豆豉,15g,牛蒡子,18g
柴胡,15g,黄芩,9g,芍药,9g,半夏,9g,生姜,15g,枳实,9g,大枣,12枚,擘,4枚,大黄,6g
大黄,12g,厚朴,24g,枳实,12g,芒硝,9g
柴胡,900g,前胡,900g,川芎,900g,枳壳,900g,羌活,900g,独活,900g,茯苓,900g,桔梗,900g,人参,900g,甘草,900g
青蒿脑,6g,淡竹茹,9g,仙半夏,4.5g,赤茯苓,9g,青子芩,9g,生枳壳,4.5g,陈广皮,4.5g,碧玉,9g
槟榔,6g,厚朴,3g,草果仁,1.5g,知母,3g,芍药,3g,黄芩,3g,甘草,1.5g
甘草,6g,枳实,6g,柴胡,6g,芍药,6g
甘草,15g,当归,30g,锉,30g,茯苓,30g,白者,30g,白芍药,30g,白术,30g,柴胡,30g
白术,90g,白芍药,60g,陈皮,45g,防风,30g
半夏,12g,黄芩,9g,干姜,9g,人参,9g,黄连,3g,大枣,12枚,擘,4枚,甘草,9g
川大黄,600g,朴硝,600g,甘草火监,600g,山栀子仁,300g,薄荷,300g,黄芩,300g,连翘,1250g
白芷,3g,贝母,6g,防风,6g,赤芍药,6g,当归尾,6g,甘草节,6g,皂角刺,6g,穿山甲,6g,天花粉,6g,乳香,6g,没药,6g,金银花,9g,陈皮,9g
水牛角,30g,生地黄,15g,元参,9g,竹叶心,3g,麦冬,9g,丹参,6g,黄连,5g,银花,9g,连翘,6g
黄连,9g,黄芩,6g,黄柏,6g,栀子,14枚,擘,9g
地黄,6g,木通,6g,甘草,6g
竹叶,6g,石膏,50g,半夏,9g,麦门冬,6g,人参,6g,甘草,6g,粳米,10g
石膏碎,50g,知母,18g,甘草,6g,粳米,9g
黄芩,15g,黄连,15g,陈皮,6g,甘草,6g,玄参,6g,柴胡,6g,桔梗,6g,连翘,3g,板蓝根,3g,马勃,3g,牛蒡子,3g,薄荷,3g,僵蚕,2g,升麻,2g
水牛角,30g,生地黄,24g,芍药,12g,牡丹皮,9g
龙胆草,6g,黄芩,9g,栀子,9g,泽泻,12g,木通,6g,当归,3g,生地黄,9g,柴胡,6g,生甘草,6g,车前子,9g
羌活,9g,防风,9g,苍术,9g,细辛,3g,川芎,6g,香白芷,6g,生地黄,6g,黄芩,6g,甘草,6g
桂枝,9g,芍药,9g,甘草,6g,生姜,9g,大枣擘,3g
柴胡,9g,防风,3g,陈皮,4.5g,芍药,6g,甘草,3g,生姜,5片
黄连,180g,吴茱萸,30g
苇茎,60g,薏苡仁,30g,瓜瓣,24g,桃仁,9g
地骨皮,30g,桑白皮,30g,甘草,3g
生地黄,6g,当归身,6g,牡丹皮,9g,黄连,6g,夏月,12g,升麻,9g
石膏,15g,熟地,30g,麦冬,6g,知母牛膝,5g
葛根,15g,甘草,6g,黄芩,9g,黄连,9g
芍药,30g,当归,15g,黄连,15g,槟榔,6g,木香,6g,甘草,6g,大黄,9g,黄芩,15g,官桂,5g
白头翁,15g,黄柏,12g,黄连,6g,秦皮,12g
青蒿,6g,鳖甲,15g,细生地,12g,知母,6g,丹皮,9g
银柴胡,5g,胡黄连,3g,秦艽,3g,鳖甲醋,3g,地骨皮,3g,青蒿,3g,知母,3g,甘草,2g
当归,6g,生地黄,6g,黄芩,6g,黄柏,6g,黄连,6g,熟地黄,6g,黄芪,12g
鲜荷叶边,6g,鲜银花,6g,丝瓜皮,6g,西瓜翠衣,6g,鲜扁豆花,6g,鲜竹叶心,6g
西洋参,5g,石斛,15g,麦冬,9g,黄连,3g,竹叶,6g,荷梗,15g,知母,6g,甘草,3g,粳米,15g,西瓜翠衣,30g
滑石,180g,甘草,30g
香薷,500g,白扁豆,250g,厚朴,250g
茯苓,30g,甘草,60g,白术,15g,泽泻,30g,桂,15g,石膏,60g,寒水石,60g,滑石,120g,猪苓,15g
人参,90g,干姜,90g,甘草,90g,白术,90g
吴茱萸,9g,人参,9g,生姜,18g,大枣,12枚,擘,4枚
当归,12g,桂枝,6g,芍药,9g,细辛,3g,甘草,6g,通草,6g,大枣,25枚,擘,8枚
熟附子,9g,干姜,6g,人参,6g,甘草,6g,白术,9g,肉桂,3g,陈皮,6g,五味子,3g,茯苓,9g,半夏制,9g
桂枝,6g,甘草,6g,大枣,12枚,擘,6枚,芍药,18g,生姜,9g,胶饴,30g
熟地黄,30g,麻黄,2g,鹿角胶,9g,白芥子,6g,肉桂,3g,生甘草,3g,姜炭,2g
甘草,6g,干姜,6g,附子,15g
人参,6g,白术,6g,茯苓,6g,甘草,6g
白术,3g,当归,3g,白茯苓,3g,黄芪,3g,远志,3g,龙眼肉,3g,酸枣仁,3g,人参,6g,木香,1.5g,甘草,1g
黄芪,30g,当归,6g
当归,9g,川芎,6g,白芍,9g,熟干地黄,12g
防风,30g,黄芪蜜,60g,白术,60g
莲子肉,500g,薏苡仁,500g,缩砂仁,500g,桔梗,500g,白扁豆,750g,白茯苓,1000g,人参,1000g,甘草,1000g,白术,1000g,山药,1000g
黄芪,18g,甘草,9g,人参,6g,当归,3g,橘皮,6g,升麻,6g,柴胡,6g,白术,9g
人参,9g,麦门冬,9g,五味子,6g
白术,30g,山药,30g,人参,6g,白芍,15g,车前子,9g,苍术,9g,甘草,3g,陈皮,2g,黑芥穗,2g,柴胡,2g
人参,30g,白术,30g,白茯苓,30g,当归,30g,川芎,30g,白芍药,30g,熟地黄,30g,甘草,30g
甘草,12g,生姜,9g,桂枝,9g,人参,6g,生地黄,50g,阿胶,6g,麦门冬,10g,麻仁,10g,大枣,30枚,擘,10枚
熟地黄,24g,山萸肉,12g,干山药,12g,泽泻,9g,牡丹皮,9g,茯苓,9g
大怀熟地,240g,山药,120g,枸杞,120g,山茱萸,120g,川牛膝,90g,鹿角胶,120g,龟版胶,120g,菟丝子,120g
熟地黄,180g,龟版酥,180g,黄柏,120g,知母,120g
北沙参,9g,麦冬,9g,当归身,9g,生地黄,30g,枸杞子,18g,川楝子,4.5g
干地黄,240g,薯蓣,120g,山茱萸,120g,泽泻,90g,茯苓,90g,牡丹皮,90g,桂枝,30g,附子,30g
熟地黄,240g,山药,120g,山茱萸,90g,枸杞子,90g,菟丝子制,120g,鹿角胶珠,120g,杜仲姜汁,120g,肉桂,60g,当归,90g,附子,180g
