[[-0.40342823]]
[[ 1.43749367]]
[[ 0.00354905]]
[[ 0.00406487]]
[[ 0.00085851]]
[[-0.00295606]]
[[ 0.00018457]]
[[ 0.00606905]]
[[ 0.00038192]]
[[ 0.00026841]]
[[-0.00048662]]
[[-0.00117898]]
[[-0.00073025]]
[[ 0.0004531]]
[[-0.00070064]]
[[ 0.00414677]]
[[-0.00067753]]
[[ 0.00211973]]
[[ 0.00099592]]
[[ 0.00076657]]
[[ 0.00064121]]
[[-0.00032975]]
[[ 0.00097433]]
[[ 0.00076879]]
[[-0.00067981]]
[[-0.00017218]]
[[ 0.00076875]]
[[-0.00220597]]
[[ 0.0003971]]
[[-0.00060866]]
[[-0.00129923]]
[[ 0.00083186]]
[[ 0.00057131]]
[[ 0.00023925]]
[[-0.00092343]]
[[ 0.00047823]]
[[-0.00163844]]
[[-0.00050855]]
[[-0.00042476]]
[[ 0.00033769]]
[[ 0.00221486]]
[[-0.00046523]]
[[ 0.00094041]]
[[-0.00089407]]
[[ 0.00040089]]
[[-0.00058327]]
[[-0.00066222]]
[[ 0.00042715]]
[[ 0.0008952]]
[[  7.59840779e-05]]
[[ 0.0001554]]
[[ 0.00029076]]
[[-0.00060652]]
[[-0.00244851]]
[[ 0.00065913]]
[[-0.00037241]]
[[ -1.77399450e-05]]
[[ 0.00027417]]
[[-0.00014704]]
[[ 0.0025315]]
[[-0.00076743]]
[[-0.00263766]]
[[ -1.22752530e-05]]
[[-0.0006998]]
[[ -4.86151280e-05]]
[[ -8.44793248e-05]]
[[-0.00068429]]
[[ 0.00010132]]
[[ 0.00056721]]
[[ 0.00097334]]
[[ 0.00063556]]
[[  2.48341351e-05]]
[[ 0.00087067]]
[[-0.00030139]]
[[ 0.00204662]]
[[ 0.0009812]]
[[-0.00042269]]
[[-0.0009683]]
[[ 0.00080198]]
[[-0.00089125]]
[[ 0.00040904]]
[[-0.00045179]]
[[-0.00064107]]
[[ 0.00099333]]
[[ 0.00052127]]
[[ -9.04371944e-05]]
[[ 0.00243706]]
[[ 0.00093009]]
[[ 0.00013848]]
[[  7.22971289e-05]]
[[ 0.00096877]]
[[ 0.00065739]]
[[ 0.00052157]]
[[ 0.00038565]]
[[ 0.00071886]]
[[ 0.00064179]]
[[-0.00088678]]
[[ 0.00026379]]
[[-0.00062116]]
[[-0.00011542]]
[[ 0.00034086]]
[[ 0.00079173]]
[[ 0.00033271]]
[[-0.00061373]]
[[ 0.00094796]]
[[ 0.00021819]]
[[ 0.00062492]]
[[-0.00018716]]
[[ 0.00031237]]
[[ 0.00087013]]
[[ 0.00070354]]
[[ 0.00078897]]
[[ 0.00049138]]
[[ 0.0001389]]
[[ 0.00086696]]
[[ 0.00021722]]
[[ 0.00065872]]
[[ 0.00019258]]
[[-0.0005066]]
[[ 0.00084574]]
[[-0.00037791]]
[[-0.00029859]]
[[-0.0009778]]
[[-0.00089951]]
[[  1.93533399e-06]]
[[-0.00099907]]
[[ 0.00067405]]
[[-0.00011587]]
[[-0.00039634]]
[[ 0.00075415]]
[[-0.00050007]]
[[-0.00061229]]
[[ 0.00091032]]
[[-0.00068304]]
[[ 0.00065186]]
[[-0.00099862]]
[[ 0.00095575]]
[[-0.0009213]]
[[  8.95438894e-05]]
[[-0.00093124]]
[[ 0.00069312]]
[[-0.00034306]]
[[ 0.00089598]]
[[ 0.00232572]]
[[ 0.0005506]]
[[-0.00055244]]
[[ 0.00020585]]
[[ 0.00098644]]
[[-0.00063013]]
[[ 0.00035246]]
[[-0.00088044]]
[[ 0.00098831]]
[[  9.90292609e-05]]
[[ 0.0004619]]
[[-0.00013721]]
[[-0.00051454]]
[[-0.00069625]]
[[-0.00082332]]
[[-0.00035078]]
[[ 0.00067455]]
[[-0.00020212]]
[[-0.00027666]]
[[ 0.00040037]]
[[  7.81471835e-06]]
[[-0.0005397]]
[[ 0.00017411]]
[[-0.00070057]]
[[-0.00092442]]
[[-0.00099812]]
[[ 0.00011963]]
[[ 0.00029938]]
[[-0.00071331]]
[[-0.00095878]]
[[-0.00059793]]
[[-0.00050394]]
[[-0.00027915]]
[[-0.00064872]]
[[-0.0008687]]
[[-0.00066439]]
[[-0.00088943]]
[[ 0.00033673]]
[[-0.00044057]]
[[-0.00038805]]
[[-0.00091668]]
[[-0.00032598]]
[[ 0.00078539]]
[[ 0.00017997]]
[[ 0.00071213]]
[[ 0.00041206]]
[[ -9.82125043e-05]]
[[ 0.00056678]]
[[-0.00060362]]
[[  4.91487713e-05]]
[[ -9.98383539e-05]]
[[-0.00077241]]
[[-0.00098805]]
[[-0.00081005]]
[[ 0.00074316]]
[[-0.00092643]]
[[-0.0007562]]
[[ 0.00057809]]
[[-0.00065123]]
[[-0.00044552]]
[[ 0.00064957]]
[[ 0.00075714]]
[[-0.00056128]]
[[-0.0006108]]
[[-0.00071173]]
[[-0.00056839]]
[[ 0.0007134]]
[[-0.00023108]]
[[ 0.00030016]]
[[-0.00081359]]
[[ -8.65138494e-06]]
[[ 0.0006553]]
[[ 0.00034829]]
[[ -3.49017404e-05]]
[[-0.00053841]]
[[ 0.0002705]]
[[ 0.00069339]]
[[-0.00095224]]
[[  9.89970807e-05]]
[[-0.00094604]]
[[ 0.00064195]]
