活血祛瘀,散结止痛
行气活血,祛湿化痰,软坚消癥
破血下瘀
活血化瘀,行气止痛
活血化瘀,缓消癥块
温经散寒,祛瘀养血
活血祛瘀,疏肝通络
养血袪瘀,温经止痛
凉血止血
清肝宁肺,凉血止血
凉血止血,利水通淋
清肠止血,疏风行气
温阳健脾,养血止血
平肝熄风,清热活血,补益肝肾
祛风化痰,通络止痉
祛风化痰止痉
疏风除湿,清热养血
疏风止痛
镇肝熄风,滋阴潜阳
疏风清热,养血活血
