清热祛风止血
祛风胜湿，生肌收口。
祛风解痉。
疏风清热
祛风清热，养血止血。
解乌头、天麻、附子毒。
消肿止痛。
祛风散寒，活血化瘀。
祛风止痛。
补肺益气，固表止汗。
祛风退热
凉上焦，生津液。
祛风解表，清肠止泻。
固表止汗。
祛风定痉。
祛风止痛。
疏风散热，清肝泻火。
疏风清热。
疏风泻火，消肿止痛。
清热祛风，除湿止痒。
疏散风热。
祛风止痛。
祛湿止痒。
祛风清热。
温经散寒，祛风除湿。
祛风化痰。
疏风清热，养心安神。
养阴生津，疏风退热。
祛风泻火
祛风凉血。
清热除烦，养心安神。
祛风止痒。
滋阴凉血，祛风化痰。
养血祛风。
清心养阴，安神除烦。
清热燥湿，健脾升阳。
清肠泄热，疏风行气。
祛风止痒。
祛风利咽，消肿止痛。
祛风燥湿，消肿止痒。
祛风解痉。
祛风解毒，明目退翳。
祛风止痛。
活血化瘀，消肿定痛。
祛风止痒。
益气祛风，利水退肿。
祛风清热，补肝明目。
固表止汗，和卫祛风。
祛风散寒，清热利咽。
祛风胜湿，健脾升阳。
养血祛风，温经通络。
祛风利湿。
消痕灭瘢。
祛风清热。
祛风清热。
疏风清热。
疏风泻火，化湿止痛。
益气固表，清热利湿。
祛风散寒，活血舒筋。
祛风活血，镇心安神。
祛风清热，除湿止痒。
疏风清热，凉血解毒。
祛风止痒。
解肌透疹。
 祛腐生肌，定痛消肿，解毒止痒。
补气固表，收涩止汗。
疏风解表。
温阳健脾，祛风散寒。
疏风祛湿。
祛风活血，燥湿止痒。
祛风通窍。
温阳益气，祛风止痛。
祛风清热。
泻脾胃伏火。
清热泻火。
平肝息风，化痰止痛。
补气解表，宣肺止咳。
祛风化痰。
疏风散热，活血消肿，解毒利咽。
清利头目，宽快胸隔。
补脾养肝祛风。
消风壅，清头目，化痰涎，利咽膈。
祛风退惊。
祛风止痒。
疏风化痰，消肿利咽。
祛风泻火，活血祛瘀。
养血和血，祛风除湿。
升阳散火。
平散风寒。
祛风解痉止痛。
益气固表。
温阳化湿，祛风止痛。
清肺化痰，利咽止痛。
疏风清热，退翳明目。
补肾壮阳，祛风止痛。
凉血祛风，消肿止痒。
健脾祛风，和胃降逆。
益气固表，养心敛汗。
祛风化痰，益肾和络
补肝益肾，祛风明目。
生津补血，益气助阳。
疏风散热。
