黄芩(jiu炒),防风各等分
防风,白芷各4．5g
天南星(炮),防风各等分
黄芩(炒焦),防风各等分
防风3g,黄芩9g　阿胶15g
远志,干防风15g
草乌,细辛,防风各等分
防风30g,五灵脂,川乌头(炮，去皮)各60g
防风0.6g,羌活0．9g,红豆2个
防风30g,黄芪(蜜炙),白术各60g
地骨皮,防风各30g,炙甘草7.5g
地骨皮30g,防风30g,甘草15g(微炙)
防风,芍药,黄芩各30g
牡蛎,白术,防风各90g
川乌(炮)60g,防风60g,雄黄30g
川花椒3g,北细辛3g,香白芷3．6g　青防风6g
黄芩,大黄,防风,薄荷各15g
干葛,防风,石膏,甘草
大戟90g,露蜂房(炒),细辛各30g　防风15g
龙胆草,防风,生甘草,细辛各3g
防风,荆芥,甘草,牛蒡子(炒)各等分
升麻,荆芥穗,防风(去芦)各15g　细辛30g(去土)
艾叶62g,雄黄6g,防风62g,花椒6g
甘菊花(择),旋覆花,防风(去叉)　石膏(碎研)各等分
萆薢,防风,狗脊(去毛),乌头(去皮、脐，生用)各等分
天麻,天南星(各汤洗净),防风各30g,薄荷叶15g
茯苓9g,防风,麦冬,黄芩各6g
地骨皮60g,防风30g,甘草15g　麦冬30g(去心)
大黄,荆芥穗,川芎,防风各等分
当归,防风苗(泡),蒺藜(炒),牡丹皮各等分
防风,黄芩,麦冬(去心)各90g　白茯苓120g
防风,蝉蜕,猪牙皂荚(酥炙，去皮、子)各45g,天麻60g,,
防己9g,桂枝10g,防风9g,甘草10g
防风,当归,川芎,地黄各30g
麦冬(去心),防风,茯苓各30g,人参15g
防风,黄柏各3g,柴胡6g,苍术9g
全当归,酒黄连各120g,防风,枳壳各60g
牡荆子60g,防风90g,皂荚10挺(去皮，涂酥，炙黄焦，去子),桑螵蛸60g(微炒)
黑牵牛(炒),甘草(炒)各120g,防风30g,牛蒡子(炒)240g
防风,苦参,何首乌,薄荷各等分
羌活,独活,防风,地榆各30g
羌活,防风,柴胡,甘草(炒)各500g
天南星(酸浆水煮透心软，切，晒干)30g,菊花22．5g,自然铜(烧赤，醋淬)30g,防风15g　川芎30g
当归,红花,白芷,防风,南星各等分
防风,羌活,全蝎,薄荷,"荆芥各
30g"
黄芪,赤小豆各30g,土蒺藜,枳实各15g,防风30g
车前子,羚羊角屑,防风,菟丝子(jiu浸三日，晒干，别捣为末)各30g,决明子45g
牡蛎22．5g,白术30g,白芷10．5g　　甘草9g,防风15g
升麻,桔梗,甘草各1．5g,"防风
玄参各3g"
苍术(泔浸，去皮净)120g,防风6g　　白术,白茯苓,白芍药各3g
乌雌鸡肉(炙干)75g,桂(去粗皮)52．5g,细辛(去苗叶)90g,防风(去叉，锉)7．5g　干姜(炮)75g
茯苓30g,薏仁30g,柴胡6g,防风,甘草各3g
轻粉,白附子,黄芩(微火略炒),白芷,防风(研细末)各等分
石膏15g(煅),栀子30g(生),"生甘
草9g",防风60g(酒拌抄),豨莶草120g(酒润晒干)
甘菊花120g,防风(去叉)60g,蒺藜子(炒，去角),恶实(炒)各30g,甘草(炙，锉)15g
白薇15g,防风,白蒺藜(去角，炒),石榴皮,羌活各9g
细辛0．6g,炙甘草1g,升麻2．1g　防风3g　草龙胆(酒洗)12g
石膏,茵陈,黄芪,白术,防风
