[[ 1.58890885]]
[[-12.86354249]]
[[ 1.30930464]]
[[-7.55801046]]
[[ 12.26987045]]
[[ 0.32126922]]
[[ 6.13771976]]
[[-15.07171641]]
[[ 14.3640972]]
[[-188.91948672]]
[[-5.6776238]]
[[ 8.92312353]]
[[ 3.24111555]]
[[-1.54186413]]
[[-7.20515692]]
[[-5.71846794]]
[[-1.4942878]]
[[-1.05201935]]
[[ 6.96167133]]
[[ 5.59802275]]
[[-12.32309462]]
[[ 5.50421944]]
[[-346.01879133]]
[[ 0.67182954]]
[[-2.89909625]]
[[ 5.3633939]]
[[-4.73809785]]
[[-121.5664796]]
[[-12.29754959]]
[[-2.2934797]]
[[ 3.79787947]]
[[-5.26196321]]
[[-17.0856331]]
[[-27.32000568]]
[[-14.56340398]]
[[-10.95176043]]
[[ 8.52957843]]
[[ 37.05506419]]
[[ 1.04677641]]
[[-6.3385884]]
[[ 10.59532484]]
[[-49.41717048]]
[[-15.88320649]]
[[-682.40597732]]
[[ 1.6907757]]
[[ 0.23272619]]
[[ 1.13634276]]
[[-2.14233725]]
[[ 32.77082242]]
[[-17.77379996]]
[[-154.88707346]]
[[-9.31135341]]
[[-11.46370893]]
[[ 0.47551791]]
[[ 2.89441478]]
[[ 33.03461225]]
[[-6.29903403]]
[[-29.89322111]]
[[-61.0034517]]
[[-8.1043918]]
[[-8.7643068]]
[[-9.6509077]]
[[-15.08240695]]
[[-19.46299996]]
[[-16.23936315]]
[[ 9.78888303]]
[[ 12.47963387]]
[[ 15.42369252]]
[[-21.98156803]]
[[ 16.51490357]]
[[ 6.43277835]]
[[ 18.36390745]]
[[-13.8547479]]
[[-11.75547921]]
[[-7.64308956]]
[[-7.43446181]]
[[-28.30504534]]
[[-0.64541952]]
[[ 30.19924102]]
[[-22.48390599]]
[[-16.21775258]]
[[-6.34590579]]
[[-16.05200225]]
[[-16.65742131]]
[[-25.25105089]]
[[ 6.8952618]]
[[-5.00545959]]
[[-5.64653254]]
[[-0.71555833]]
[[-19.90472795]]
[[-12.75214507]]
[[-17.97700473]]
[[-12.43527519]]
[[ 10.94799416]]
[[ 46.973679]]
[[-2.47097883]]
[[-1.13999316]]
[[ 22.20779716]]
[[-16.85049821]]
[[ 4.6060571]]
[[-21.42644344]]
[[-5.71136029]]
[[-12.31064844]]
[[ 3.99397104]]
[[-16.04722586]]
[[ 4.58774242]]
[[-4.73512342]]
[[-10.29368955]]
[[-1.02049542]]
[[-8.79921658]]
[[ 17.27251215]]
[[-4.6031244]]
[[-30.6261208]]
[[-18.20064672]]
[[-39.84177703]]
[[-85.782957]]
[[ 12.34956181]]
[[ 7.45837955]]
[[-0.20390493]]
[[-15.34826406]]
[[-122.93776942]]
[[ 15.36412363]]
[[ 11.66640353]]
[[-0.66377487]]
[[ 20.74747975]]
[[-68.75953238]]
[[-7.09184674]]
[[ 29.6641917]]
[[-5.34990451]]
[[ 11.5461926]]
[[-8.61455691]]
[[ 27.86925129]]
[[ 67.3245976]]
[[-1.13462748]]
[[-471.30195105]]
[[-2.57580155]]
[[-95.97495174]]
[[-0.39616865]]
[[ 1.30811184]]
[[-3.66841898]]
[[-14.76384911]]
[[-10.51914707]]
[[-6.95455007]]
[[-41.17656787]]
[[-9.96277227]]
[[-6.31744511]]
[[-2.06459079]]
[[ 16.07084817]]
[[ 34.86791575]]
[[ 1.24121674]]
[[-2.90500127]]
[[-2.18509071]]
[[ 26.83286304]]
[[-10.31714567]]
[[-2.06374101]]
[[ 4.43994441]]
[[-17.1300969]]
[[ 3.86347681]]
[[-15.90583941]]
[[ 6.33397338]]
[[-133.60292261]]
[[-14.75755493]]
[[-2.07643301]]
[[ 13.07753901]]
[[-28.10361953]]
[[ 30.25279758]]
[[ 5.14557737]]
[[-3.67613997]]
[[ 6.64280608]]
[[-9.98193134]]
[[-3.27006621]]
[[-7.24467296]]
[[-43.55315935]]
[[ 11.1027863]]
[[-0.74119967]]
[[ 12.01161631]]
[[ 30.64575425]]
[[ 57.65357701]]
[[ 16.08536]]
[[-2.15004183]]
[[-23.5984534]]
[[-11.31957335]]
[[-9.63187889]]
[[-9.85693573]]
[[-6.25264012]]
[[-11.53399108]]
[[-6.65583752]]
[[-1.81679226]]
[[ 4.19745613]]
[[ 7.20287626]]
[[-3.71689961]]
[[-0.59210999]]
[[ 13.573336]]
[[ 29.96702689]]
[[-9.20562872]]
[[-5.2790189]]
[[ 0.47385097]]
[[ 10.76932821]]
[[ 88.09470736]]
[[-22.30960639]]
[[-0.34999597]]
[[-4.76452324]]
[[-5.88871399]]
[[ 4.8483878]]
[[-1.32438705]]
[[-4.59189892]]
[[-9.93852196]]
[[-1.09999753]]
[[-6.11399634]]
[[-1.25573715]]
[[-3.54980373]]
[[-8.37200919]]
[[-4.73776505]]
[[-2.70504904]]
[[-4.2258701]]
[[-4.05328112]]
[[-11.85378061]]
[[ 23.19189349]]
[[ 0.985]]
[[-1.83764996]]
[[-22.85002766]]
[[-2.69933584]]
[[-5.60121759]]
[[-11.29042107]]
[[ 0.88719561]]
[[ 11.88685374]]
[[-2.68688607]]
[[ 4.84186074]]
[[ 8.66748762]]
[[ 8.47617142]]
[[ 37.6872843]]
[[-3.70755438]]
[[-8.6441691]]
[[ 16.44992684]]
[[-4.56277279]]
[[ 13.01443555]]
[[-8.4026417]]
